"統計期","捷運站別","進站人次","出站人次","進站人次增減率[%]","出站人次增減率[%]"
"88年","新店",338205,335432,0,0
"88年","新店區公所",283611,287828,0,0
"88年","七張",392985,361815,0,0
"88年","大坪林",373971,350793,0,0
"88年","景美",400843,408281,0,0
"88年","萬隆",224522,208628,0,0
"88年","公館",752828,778582,0,0
"88年","台電大樓",313282,283214,0,0
"88年","古亭",5229962,5299568,21817.53,16348.58
"88年","中正紀念堂",3183856,3312082,14698.31,9627.68
"88年","小南門",0,0,0,0
"88年","頂溪",3572004,3718844,0,0
"88年","永安市場",2496083,2476482,0,0
"88年","景安",2461562,2220375,0,0
"88年","南勢角",2889540,2874551,0,0
"88年","台大醫院",4000574,4010790,25475.85,15676.23
"88年","台北車站BL",11734371,10104651,81.30,66.44
"88年","台北車站R",6102452,7486699,109.41,121.53
"88年","中山R",5286070,5682971,69.07,66.15
"88年","雙連",2342021,2616815,133.82,120.18
"88年","民權西路R",3960104,4204156,107.34,103.15
"88年","圓山",2257857,2210685,96.77,100.47
"88年","劍潭",3957138,4017334,107.30,111.93
"88年","士林",4261347,4774951,92.18,88.78
"88年","芝山",3031455,2867349,75.52,76.49
"88年","明德",2432791,2204462,57.20,59.00
"88年","石牌",4323032,4385419,68.08,72.30
"88年","唭哩岸",1489945,1349779,45.45,47.11
"88年","奇岩",1410808,1058477,57.81,57.85
"88年","北投",2917793,2815183,45.75,47.22
"88年","新北投",1639740,1558692,46.65,55.73
"88年","復興崗",752248,716155,43.48,44.14
"88年","忠義",678212,660256,57.11,56.68
"88年","關渡",1855108,1858855,54.76,60.15
"88年","竹圍",2023501,1921303,60.34,61.53
"88年","紅樹林",989428,851748,71.15,74.18
"88年","淡水",7684442,7793678,55.93,52.66
"88年","頂埔",0,0,0,0
"88年","永寧",0,0,0,0
"88年","土城",0,0,0,0
"88年","海山",0,0,0,0
"88年","亞東醫院",0,0,0,0
"88年","府中",0,0,0,0
"88年","板橋",0,0,0,0
"88年","新埔",0,0,0,0
"88年","江子翠",0,0,0,0
"88年","龍山寺",114300,134041,0,0
"88年","西門",172478,156556,0,0
"88年","善導寺",43112,35110,0,0
"88年","忠孝新生BL",47236,43032,0,0
"88年","忠孝復興BL",116801,98858,0,0
"88年","忠孝敦化",97721,91422,0,0
"88年","國父紀念館",70462,66118,0,0
"88年","市政府",150650,168402,0,0
"88年","永春",0,0,0,0
"88年","後山埤",0,0,0,0
"88年","昆陽",0,0,0,0
"88年","南港",0,0,0,0
"88年","南港展覽館BL",0,0,0,0
"88年","象山",0,0,0,0
"88年","台北101/世貿",0,0,0,0
"88年","信義安和",0,0,0,0
"88年","大安R",0,0,0,0
"88年","大安森林公園",0,0,0,0
"88年","北門",0,0,0,0
"88年","中山G",0,0,0,0
"88年","松江南京G",0,0,0,0
"88年","南京復興G",0,0,0,0
"88年","台北小巨蛋",0,0,0,0
"88年","南京三民",0,0,0,0
"88年","松山",0,0,0,0
"88年","輔大",0,0,0,0
"88年","新莊",0,0,0,0
"88年","頭前庄",0,0,0,0
"88年","先嗇宮",0,0,0,0
"88年","三重",0,0,0,0
"88年","菜寮",0,0,0,0
"88年","台北橋",0,0,0,0
"88年","大橋頭",0,0,0,0
"88年","民權西路O",0,0,0,0
"88年","中山國小",0,0,0,0
"88年","行天宮",0,0,0,0
"88年","松江南京O",0,0,0,0
"88年","忠孝新生O",0,0,0,0
"88年","東門",0,0,0,0
"88年","蘆洲",0,0,0,0
"88年","三民高中",0,0,0,0
"88年","徐匯中學",0,0,0,0
"88年","三和國中",0,0,0,0
"88年","三重國小",0,0,0,0
"88年","迴龍",0,0,0,0
"88年","丹鳳",0,0,0,0
"88年","大坪林Y",0,0,0,0
"88年","十四張",0,0,0,0
"88年","秀朗橋",0,0,0,0
"88年","景平",0,0,0,0
"88年","景安Y",0,0,0,0
"88年","中和",0,0,0,0
"88年","橋和",0,0,0,0
"88年","中原",0,0,0,0
"88年","板新",0,0,0,0
"88年","板橋Y",0,0,0,0
"88年","新埔民生",0,0,0,0
"88年","頭前庄Y",0,0,0,0
"88年","幸福",0,0,0,0
"88年","新北產業園區",0,0,0,0
"88年","一日票",642054,642054,24.08,24.08
"88年","團體票",0,0,0,0
"88年","其他",0,0,0,0
"89年","松山機場",0,0,0,0
"89年","中山國中",4750261,4440772,62.54,64.04
"89年","南京復興BR",5381353,5508077,71.32,59.54
"89年","忠孝復興BR",1376568,1537232,-50.21,-49.51
"89年","大安BR",3632111,3633808,82.53,79.94
"89年","科技大樓",3033093,2863764,67.27,70.12
"89年","六張犁",2794098,2585537,53.13,57.65
"89年","麟光",1075463,993697,50.14,54.03
"89年","辛亥",910724,800830,25.91,26.56
"89年","萬芳醫院",3339453,3517117,38.45,43.15
"89年","萬芳社區",757509,642137,34.20,36.68
"89年","木柵",1437381,1511503,41.26,44.37
"89年","動物園",1916370,2055639,32.39,33.93
"89年","大直",0,0,0,0
"89年","劍南路",0,0,0,0
"89年","西湖",0,0,0,0
"89年","港墘",0,0,0,0
"89年","文德",0,0,0,0
"89年","內湖",0,0,0,0
"89年","大湖公園",0,0,0,0
"89年","葫洲",0,0,0,0
"89年","東湖",0,0,0,0
"89年","南港軟體園區",0,0,0,0
"89年","南港展覽館BR",0,0,0,0
"89年","小碧潭",0,0,0,0
"89年","新店",2550517,2403659,654.13,616.59
"89年","新店區公所",2454556,2494770,765.47,766.76
"89年","七張",3533988,3213641,799.27,788.20
"89年","大坪林",3507051,3234609,837.79,822.08
"89年","景美",3639502,3703979,807.96,807.21
"89年","萬隆",2092924,1914902,832.17,817.85
"89年","公館",6433642,7084803,754.60,809.96
"89年","台電大樓",3224093,3011909,929.13,963.47
"89年","古亭",7035548,7223443,34.52,36.30
"89年","中正紀念堂",6354572,6153724,99.59,85.80
