西元年,站名,早晨出發,早晨抵達,傍晚出發,傍晚抵達,早晨出發佔比,傍晚出發佔比,潮汐指數,工作日均運量,工作日數
2025,士林,76657,106739,139180,108198,0.4179862156208423,0.5626207666001019,-0.14463455097925954,29725,20
2025,南港展覽館,142069,161362,205723,113957,0.46820858778437274,0.6435279029029028,-0.1753193151185301,38409,20
2025,松山機場,12856,23233,26121,20731,0.35623043032502977,0.5575215572440878,-0.20129112691905804,5606,20
2025,大安森林公園,23715,34762,46455,28687,0.4055440600578005,0.6182294855074393,-0.21268542544963875,9081,20
2025,中山,50630,131723,226623,231751,0.27764829753280723,0.4944063144942776,-0.21675801696147035,50983,20
2025,劍南路,28786,52591,59496,44532,0.35373631370043135,0.5719229438228169,-0.2181866301223856,11859,20
2025,中山國小,51119,89788,93453,66865,0.3627853832669775,0.5829226911513368,-0.22013730788435926,18922,20
2025,忠孝復興,49638,136577,212376,198495,0.2665628440243804,0.5168921632337157,-0.25032931920933527,50264,20
2025,東門,53705,119474,142561,108455,0.3101126580012588,0.5679359084679861,-0.2578232504667273,28788,20
2025,公館,50926,108228,153919,95650,0.3199793910300715,0.6167392584816224,-0.29675986745155086,30387,20
2025,關渡,41563,84381,74916,39067,0.3300117512545258,0.6572559065825606,-0.3272441553280348,15186,20
2025,國父紀念館,36475,118696,132919,100200,0.2350632527985255,0.5701766050815249,-0.33511335228299943,26490,20
2025,雙連,37325,114785,108046,75770,0.24538163171389127,0.5877943160551856,-0.34241268434129435,22930,20
2025,忠義,10960,20999,17330,7942,0.3429393910948403,0.6857391579613802,-0.3427997668665399,3607,20
2025,信義安和,44033,124901,116048,73828,0.2606520889814957,0.6111778213149635,-0.35052573233346773,20830,20
2025,象山,43794,89894,89320,42105,0.3275836275507151,0.6796271637816245,-0.3520435362309094,15924,20
2025,先嗇宮,23674,50090,41328,17826,0.32094246515915625,0.6986509788010954,-0.37770851364193914,5920,20
2025,民權西路,53484,157532,150355,82679,0.25345945331159725,0.64520627891209,-0.3917468256004928,27048,20
2025,南京三民,67076,178371,165906,81749,0.2732809934527617,0.6699077345500798,-0.3966267410973181,26930,20
2025,市政府,75508,328676,350484,233745,0.18681590562714012,0.5999085974848903,-0.4130926918577502,66396,20
2025,忠孝新生,51019,165950,214298,114782,0.23514419110564183,0.6512033548073417,-0.4160591637016999,38265,20
2025,昆陽,44100,112456,107633,46543,0.28168834155190475,0.6981177355749274,-0.41642939402302265,16987,20
2025,忠孝敦化,33775,154692,185317,121828,0.1792090923079372,0.6033534649758258,-0.42414437266788857,34518,20
2025,中正紀念堂,52720,184245,184826,85804,0.22248011309687085,0.6829471972804197,-0.46046708418354887,30775,20
2025,台北101/世貿,42362,161891,199023,97010,0.20739964651681983,0.6723000476298251,-0.46490040111300523,34943,20
2025,大安,48696,197929,169365,85365,0.1974495691839838,0.6648804616652927,-0.46743089248130887,28545,20
2025,南京復興,68998,330440,291052,149238,0.17273769646353127,0.6610461286879102,-0.488308432224379,46497,20
2025,行天宮,51918,211604,182501,81538,0.19701580892676893,0.6911895591181606,-0.49417375019139165,30188,20
2025,港墘,42983,159838,137873,49241,0.21192578677750332,0.7368395737357974,-0.5249137869582942,20359,20
2025,小南門,24383,93323,82281,29841,0.20715171698978813,0.7338524107668433,-0.5267006937770551,12907,20
2025,台北小巨蛋,32047,175828,151812,68170,0.1541647624774504,0.6901110090825613,-0.5359462466051109,23162,20
2025,善導寺,27573,177947,158628,71301,0.13416212534059946,0.689899925629216,-0.5557378002886165,26171,20
2025,西湖,26446,134943,124549,32565,0.16386494742516527,0.7927301195310411,-0.6288651721058758,16822,20
2025,松江南京,41942,361970,321128,108779,0.10383945017726634,0.7469708564875659,-0.6431314063102995,43663,20
2025,南港軟體園區,9970,71325,68192,20425,0.12263976874346516,0.7695137501833734,-0.6468739814399083,8985,20
2025,台大醫院,15875,184989,150335,39509,0.07903357495618926,0.7918870230294347,-0.7128534480732455,26278,20
